Date, Open, High, Low, Close
03/31/20, 22208.42, 22480.37, 21852.08, 21917.16
03/30/20, 21678.22, 22378.09, 21522.08, 22327.48
03/27/20, 21898.47, 22327.57, 21469.27, 21636.78
03/26/20, 21468.38, 22595.06, 21427.10, 22552.17
03/25/20, 21050.34, 22019.93, 20538.34, 21200.55
03/24/20, 19722.19, 20737.70, 19649.25, 20704.91
03/23/20, 19028.36, 19121.01, 18213.65, 18591.93
03/20/20, 20253.15, 20531.26, 19094.27, 19173.98
03/19/20, 19830.01, 20442.63, 19177.13, 20087.19
03/18/20, 20188.69, 20489.33, 18917.46, 19898.92
03/17/20, 20487.05, 21379.35, 19882.26, 21237.38
03/16/20, 20917.53, 21768.28, 20116.46, 20188.52
03/13/20, 21973.82, 23189.76, 21285.37, 23185.62
03/12/20, 22184.71, 22837.95, 21154.46, 21200.62
03/11/20, 24604.63, 24604.63, 23328.32, 23553.22
03/10/20, 24453.00, 25020.99, 23690.34, 25018.16
03/09/20, 24992.36, 24992.36, 23706.07, 23851.02
03/06/20, 25457.21, 25994.38, 25226.62, 25864.78
03/05/20, 26671.92, 26671.92, 25943.33, 26121.28
03/04/20, 26383.68, 27102.34, 26286.31, 27090.86
03/03/20, 26762.47, 27084.59, 25706.28, 25917.41
03/02/20, 25590.51, 26706.17, 25391.96, 26703.32
02/28/20, 25270.83, 25494.24, 24681.01, 25409.36
02/27/20, 26526.00, 26775.31, 25752.82, 25766.64
02/26/20, 27159.46, 27542.78, 26890.97, 26957.59
02/25/20, 28037.65, 28149.20, 26997.62, 27081.36
02/24/20, 28402.93, 28402.93, 27912.44, 27960.80
02/21/20, 29146.53, 29146.53, 28892.70, 28992.41
02/20/20, 29296.25, 29368.45, 28959.65, 29219.98
02/19/20, 29312.70, 29409.09, 29274.38, 29348.03
02/18/20, 29282.78, 29330.16, 29116.81, 29232.19
02/14/20, 29440.47, 29463.04, 29283.18, 29398.08
02/13/20, 29436.03, 29535.40, 29345.93, 29423.31
02/12/20, 29406.75, 29568.57, 29406.75, 29551.42
02/11/20, 29390.71, 29415.39, 29210.47, 29276.34
02/10/20, 28995.66, 29278.07, 28995.66, 29276.82
02/07/20, 29286.92, 29286.92, 29056.98, 29102.51
02/06/20, 29388.58, 29408.05, 29246.93, 29379.77
