,Name,Kurs,%,Absolut,Zeit,Handelsvolumen,ISIN
0,ADIDAS,"176,48€","-0,60%",-106,17:04,117 Tsd.,DE000A1EWWW0
1,AIRBUS GROUP,"148,22€","-0,60%",-090,17:02,97 Tsd.,NL0000235190
2,ALLIANZ,"241,40€","-0,12%",-030,17:04,203 Tsd.,DE0008404005
3,BASF,"44,56€","-0,49%",-022,17:04,656 Tsd.,DE000BASF111
4,BAYER,"33,55€","-2,04%",-070,17:04,2 Mio.,DE000BAY0017
5,BEIERSDORF,"134,60€","-2,57%",-355,17:04,138 Tsd.,DE0005200000
6,BMW ST,"95,66€","-1,23%",-119,17:04,419 Tsd.,DE0005190003
7,BRENNTAG SE NA O.N.,"82,06€","-0,05%",-004,17:03,94 Tsd.,DE000A1DAHH0
8,COMMERZBANK,"11,43€","+0,75%",+009,17:04,4 Mio.,DE000CBK1001
9,CONTINENTAL,"73,60€","+1,10%",+080,17:04,244 Tsd.,DE0005439004
10,COVESTRO AG O.N.,"49,04€","-0,37%",-018,17:04,220 Tsd.,DE0006062144
11,DAIMLER TRUCK HLDG NA ON,"32,01€","-0,90%",-029,17:04,677 Tsd.,DE000DTR0CK8
12,DR.ING.H.C.F.PORSCHE VZO,"73,50€","-2,65%",-200,17:04,615 Tsd.,DE000PAG9113
13,DT. BANK,"11,94€","-0,88%",-011,17:04,4 Mio.,DE0005140008
14,DT. BÖRSE,"187,85€","+0,27%",+050,17:04,118 Tsd.,DE0005810055
15,DT. POST,"44,84€","-0,75%",-034,17:04,534 Tsd.,DE0005552004
16,DT. TELEKOM,"22,66€","+0,71%",+016,17:04,2 Mio.,DE0005557508
17,E.ON,"12,67€","±0,00%","±0,00",17:04,2 Mio.,DE000ENAG999
18,FRESENIUS,"26,88€","-3,59%",-100,17:04,540 Tsd.,DE0005785604
19,HANNO. RÜCK,"223,50€","+0,18%",+040,17:03,24 Tsd.,DE0008402215
20,HEIDELBERG MATERIALS O.N.,"84,36€","-0,68%",-058,17:03,104 Tsd.,DE0006047004
21,Henkel VZ,"73,86€","-0,81%",-060,17:04,96 Tsd.,DE0006048432
22,INFINEON,"34,00€","-0,76%",-026,17:04,1 Mio.,DE0006231004
23,MERCEDES-BENZ GRP NA O.N.,"61,45€","+0,15%",+009,17:04,1 Mio.,DE0007100000
24,MERCK,"144,40€","-0,55%",-080,17:04,69 Tsd.,DE0006599905
25,MTU AERO,"205,30€","+0,49%",+100,17:03,54 Tsd.,DE000A0D9PT0
26,MÜNCH. RÜCK,"384,90€","+0,89%",+340,17:04,160 Tsd.,DE0008430026
27,PORSCHE AUTOM.HLDG VZO,"45,20€","+0,51%",+023,17:04,483 Tsd.,DE000PAH0038
28,"QIAGEN NV EO -,01","40,78€","-0,56%",-023,17:04,97 Tsd.,NL0012169213
29,RHEINMETALL,"315,10€","-0,22%",-070,17:03,124 Tsd.,DE0007030009
30,RWE ST,"38,65€","-1,43%",-056,17:04,693 Tsd.,DE0007037129
31,SAP,"144,24€","-0,43%",-062,17:04,346 Tsd.,DE0007164600
32,SARTORIUS AG VZO O.N.,"308,80€","-2,09%",-660,17:04,23 Tsd.,DE0007165631
33,SIEMENS,"162,08€","-0,64%",-104,17:04,366 Tsd.,DE0007236101
34,SIEMENS ENERGY AG NA O.N.,"12,07€","-2,97%",-037,17:03,3 Mio.,DE000ENER6Y0
35,SIEMENS HEALTH.AG NA O.N.,"52,72€","-1,20%",-064,17:04,103 Tsd.,DE000SHL1006
36,SYMRISE,"97,54€","+0,02%",+002,17:01,65 Tsd.,DE000SYM9999
37,VOLKSWAGEN VZ,"111,80€","-0,16%",-018,17:04,338 Tsd.,DE0007664039
38,VONOVIA,"27,55€","-0,68%",-019,17:04,1 Mio.,DE000A1ML7J1
39,ZALANDO SE,"17,73€","-2,80%",-051,17:04,972 Tsd.,DE000ZAL1111
