Date,Open,High,Low,Close
2019-11-01,27142.95,27347.43,27142.95,27347.36
2019-11-04,27402.06,27517.58,27402.06,27462.11
2019-11-05,27500.23,27560.36,27453.55,27492.63
2019-11-06,27502.74,27526.05,27407.81,27492.56
2019-11-07,27590.16,27774.67,27590.16,27674.8
2019-11-08,27686.2,27694.95,27578.97,27681.24
2019-11-11,27580.66,27714.39,27517.67,27691.49
2019-11-12,27701.59,27770.86,27635.32,27691.49
2019-11-13,27622.04,27806.4,27587.2,27783.59
2019-11-14,27757.2,27800.71,27676.97,27781.96
2019-11-15,27843.54,28004.89,27843.54,28004.89
2019-11-18,27993.22,28040.97,27969.24,28036.22
2019-11-19,28079.76,28090.21,27894.52,27934.02
2019-11-20,27879.55,27897.28,27675.28,27821.09
2019-11-21,27820.28,27828.33,27708.34,27766.29
2019-11-22,27831.23,27898.46,27773.98,27875.62
2019-11-25,27917.77,28068.69,27917.77,28066.47
2019-11-26,28080.75,28146.02,28042.21,28121.68
2019-11-27,28156.47,28174.97,28075.23,28164.0
2019-11-29,28103.16,28119.51,28042.53,28051.41
2019-12-02,28109.74,28109.84,27782.35,27783.04
2019-12-03,27501.98,27524.74,27325.13,27502.81
2019-12-04,27634.63,27727.45,27612.08,27649.78
2019-12-05,27736.05,27745.2,27562.8,27677.79
2019-12-06,27839.68,28035.85,27839.68,28015.06
2019-12-09,27987.05,28010.42,27906.14,27909.6
2019-12-10,27900.65,27949.02,27804.0,27881.72
2019-12-11,27867.31,27925.5,27801.8,27911.3
2019-12-12,27898.34,28224.95,27859.87,28132.05
2019-12-13,28123.64,28290.73,28028.32,28135.38
2019-12-16,28191.67,28337.49,28191.67,28235.89
2019-12-17,28221.75,28328.63,28220.56,28267.16
2019-12-18,28291.44,28323.25,28239.28,28239.28
2019-12-19,28278.31,28381.48,28278.24,28376.96
2019-12-20,28608.64,28608.64,28445.6,28455.09
2019-12-23,28491.78,28582.49,28491.78,28551.53
2019-12-24,28572.57,28576.8,28503.21,28515.45
2019-12-26,28539.46,28624.1,28535.15,28621.39
2019-12-27,28675.34,28701.66,28608.98,28645.26
2019-12-30,28654.76,28664.69,28428.98,28462.14
2019-12-31,28414.64,28547.35,28376.49,28538.44
2020-01-02,28638.97,28872.8,28627.77,28868.8
2020-01-03,28553.33,28716.31,28500.36,28634.88
2020-01-06,28465.5,28708.02,28418.63,28703.38
2020-01-07,28639.18,28685.5,28565.28,28583.68
2020-01-08,28556.14,28866.18,28522.51,28745.09
2020-01-09,28851.97,28988.01,28844.31,28956.9
2020-01-10,28977.52,29009.07,28789.1,28823.77
2020-01-13,28869.01,28909.91,28819.43,28907.05
2020-01-14,28895.5,29054.16,28872.27,28939.67
2020-01-15,28901.8,29127.59,28897.35,29030.22
2020-01-16,29131.95,29300.32,29131.95,29297.64
2020-01-17,29313.31,29373.62,29289.91,29348.1
2020-01-21,29269.05,29341.21,29146.47,29196.04
2020-01-22,29263.63,29320.2,29172.26,29186.27
2020-01-23,29111.02,29190.47,28966.98,29160.09
2020-01-24,29230.39,29288.79,28843.31,28989.73
2020-01-27,28542.49,28671.79,28440.47,28535.8
2020-01-28,28594.28,28823.23,28575.75,28722.85
2020-01-29,28820.53,28944.24,28728.19,28734.45
2020-01-30,28640.16,28879.71,28489.76,28859.44
2020-01-31,28813.04,28813.04,28169.53,28256.03
2020-02-03,28319.65,28630.39,28319.65,28399.81
2020-02-04,28696.74,28904.88,28696.74,28807.63
2020-02-05,29048.73,29308.89,29000.85,29290.85
2020-02-06,29388.58,29408.05,29246.93,29379.77
2020-02-07,29286.92,29286.92,29056.98,29102.51
2020-02-10,28995.66,29278.07,28995.66,29276.82
2020-02-11,29390.71,29415.39,29210.47,29276.34
2020-02-12,29406.75,29568.57,29406.75,29551.42
2020-02-13,29436.03,29535.4,29345.93,29423.31
2020-02-14,29440.47,29463.04,29283.18,29398.08
2020-02-18,29282.78,29330.16,29116.81,29232.19
2020-02-19,29312.7,29409.09,29274.38,29348.03
2020-02-20,29296.25,29368.45,28959.65,29219.98
2020-02-21,29146.53,29146.53,28892.7,28992.41
2020-02-24,28402.93,28402.93,27912.44,27960.8
2020-02-25,28037.65,28149.2,26997.62,27081.36
2020-02-26,27159.46,27542.78,26890.97,26957.59
2020-02-27,26526.0,26775.31,25752.82,25766.64
2020-02-28,25270.83,25494.24,24681.01,25409.36
2020-03-02,25590.51,26706.17,25391.96,26703.32
2020-03-03,26762.47,27084.59,25706.28,25917.41
2020-03-04,26383.68,27102.34,26286.31,27090.86
2020-03-05,26671.92,26671.92,25943.33,26121.28
2020-03-06,25457.21,25994.38,25226.62,25864.78
2020-03-09,24992.36,24992.36,23706.07,23851.02
2020-03-10,24453.0,25020.99,23690.34,25018.16
2020-03-11,24604.63,24604.63,23328.32,23553.22
2020-03-12,22184.71,22837.95,21154.46,21200.62
2020-03-13,21973.82,23189.76,21285.37,23185.62
2020-03-16,20917.53,21768.28,20116.46,20188.52
2020-03-17,20487.05,21379.35,19882.26,21237.38
2020-03-18,20188.69,20489.33,18917.46,19898.92
2020-03-19,19830.01,20442.63,19177.13,20087.19
2020-03-20,20253.15,20531.26,19094.27,19173.98
2020-03-23,19028.36,19121.01,18213.65,18591.93
2020-03-24,19722.19,20737.7,19649.25,20704.91
2020-03-25,21050.34,22019.93,20538.34,21200.55
2020-03-26,21468.38,22595.06,21427.1,22552.17
2020-03-27,21898.47,22327.57,21469.27,21636.78
2020-03-30,21678.22,22378.09,21522.08,22327.48
2020-03-31,22208.42,22480.37,21852.08,21917.16
