,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
0,0.32697287,0.3101598,0.34587115,0.3261604,0.32143906,0.3747064,0.34776804,2019-11-24
1,0.23648982,0.23354518,0.2400849,0.24891528,0.2383798,0.18548787,0.2784083,2020-03-15
2,0.30856916,0.26517975,0.3439165,0.2978985,0.3215797,0.28958088,0.31949237,2020-03-14
3,0.53830314,0.5439725,0.5467049,0.5280715,0.55894685,0.50273645,0.54646015,2019-11-23
4,0.3256563,0.34486473,0.33549285,0.35436535,0.33044085,0.28221828,0.33654773,2020-02-15
5,0.47446418,0.43547064,0.4715564,0.4683087,0.4532327,0.43523613,0.4742553,2020-03-13
6,0.25629187,0.28367025,0.2253693,0.2539836,0.24804144,0.23778412,0.23969401,2020-02-21
7,0.27704552,0.25963312,0.27013394,0.30054688,0.2806852,0.23178886,0.2925158,2020-01-19
8,0.31112385,0.31801236,0.2793821,0.29340988,0.28788656,0.23759058,0.2921368,2020-02-10
9,0.49408808,0.46402955,0.5147136,0.48131105,0.49890688,0.45227116,0.494441,2019-11-26
10,0.30578023,0.32311505,0.3006328,0.3124743,0.29565638,0.30862993,0.32296765,2020-03-12
11,0.31538182,0.27350777,0.29981816,0.30216327,0.30289155,0.29632658,0.30874866,2019-11-25
12,0.3576647,0.37008476,0.36446914,0.35534668,0.37119386,0.33453146,0.3617957,2019-11-24
13,0.40890533,0.38631743,0.40103295,0.40759048,0.40254426,0.41686255,0.39646834,2020-03-15
14,0.2666703,0.19484206,0.25094643,0.24991688,0.23468758,0.21210495,0.26908064,2020-03-14
15,0.9024323,0.86429626,0.90226907,0.87889695,0.884989,0.8263558,0.9072671,2019-11-23
16,0.31872934,0.2785017,0.321365,0.31775075,0.28777254,0.29253495,0.3263362,2020-02-15
17,0.3702448,0.3743123,0.35481283,0.32230702,0.3055958,0.3124995,0.35858124,2020-03-13
18,0.31344533,0.3088845,0.33656073,0.39033896,0.3419934,0.3563119,0.37774795,2020-02-21
19,0.47190934,0.42539713,0.44096094,0.46821263,0.45702952,0.43581563,0.4574752,2020-01-19
20,0.3801913,0.35762262,0.35866702,0.32931,0.3736346,0.3070854,0.3777883,2020-02-10
21,0.27347305,0.2927425,0.26943594,0.254791,0.31562525,0.23565157,0.31219712,2019-11-26
22,0.31079528,0.2990026,0.31100416,0.34146047,0.27889973,0.25878012,0.3377108,2020-03-12
23,0.7331283,0.71268386,0.7130443,0.6867027,0.6974889,0.6358254,0.704978,2019-11-25
24,0.36697116,0.35624385,0.35451257,0.3863428,0.37731713,0.36473212,0.38633198,2019-11-24
25,0.41805205,0.44578427,0.42723125,0.39452934,0.42867938,0.39889443,0.44614202,2020-03-15
26,0.34813714,0.3811132,0.35822314,0.38838997,0.37405276,0.3354289,0.37509635,2020-03-14
27,0.31279004,0.31447333,0.29377413,0.2383899,0.29380256,0.26750076,0.27150798,2019-11-23
28,0.3330436,0.36042792,0.3594761,0.30615819,0.34197724,0.3092869,0.35449755,2020-02-15
29,0.34603345,0.31862813,0.34884942,0.348693,0.33857423,0.31532687,0.35070014,2020-03-13
30,0.4001093,0.3234868,0.3586231,0.3705452,0.40037128,0.35847393,0.385123,2020-02-21
31,0.3634443,0.38307413,0.39537084,0.3433286,0.3400945,0.3161415,0.36355752,2020-01-19
32,0.2304149,0.21498813,0.24803671,0.2245235,0.2536875,0.24748582,0.26119596,2020-02-10
33,0.25361675,0.24548239,0.24115814,0.26431605,0.24850436,0.24248357,0.28221223,2019-11-26
34,0.71474516,0.6949322,0.6931689,0.68226665,0.67630595,0.6074681,0.71140134,2020-03-12
35,0.61745846,0.5318854,0.5790415,0.5530522,0.5661931,0.5325259,0.5864166,2019-11-25
36,0.25895667,0.2793256,0.32539347,0.31353757,0.26996893,0.29661995,0.29421794,2019-11-24
37,0.27784756,0.23836154,0.28568396,0.24954227,0.25213772,0.19911286,0.24729244,2020-03-15
38,0.37284365,0.38666734,0.37144184,0.42233288,0.40594405,0.37055856,0.3778688,2020-03-14
39,0.39702064,0.38728487,0.41812629,0.3768469,0.3934688,0.35698056,0.39063072,2019-11-23
40,0.45567787,0.417986,0.4444824,0.42277926,0.45829666,0.38547418,0.45420977,2020-02-15
