,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
0,0.7511618,0.7066209,0.5916594,0.6025363,0.6452168,0.6703478,1.0,2019-11-24
1,0.7659551,0.7222775,0.60834134,0.6219962,0.6571054,0.6540854,0.9999999,2020-03-15
2,0.7321913,0.6986202,0.5853572,0.6215364,0.66523325,0.6501519,1.0000001,2020-03-14
3,0.7530116,0.7062842,0.58423513,0.6269213,0.6530646,0.6624861,1.0,2019-11-23
4,0.7174394,0.6804503,0.5703105,0.6049687,0.64548326,0.6376643,1.0,2020-02-15
5,0.71947265,0.6703528,0.58680284,0.57326925,0.6089009,0.601738,0.99999994,2020-03-13
6,0.7476207,0.69988936,0.58592254,0.6365604,0.65415525,0.6535939,0.99999994,2020-02-21
7,0.7686192,0.7330364,0.6482096,0.65821695,0.6953535,0.68579817,0.9999998,2020-01-19
8,0.75250137,0.7121806,0.58007395,0.60829085,0.64305055,0.63717103,1.0,2020-02-10
9,0.74425447,0.69378686,0.60455483,0.6184144,0.6492754,0.6580732,0.99999994,2019-11-26
10,0.75442684,0.7030927,0.59189457,0.58281493,0.627398,0.6216786,1.0,2020-03-12
11,0.7624599,0.7187208,0.6237081,0.6442177,0.68015385,0.6841982,0.9999997,2019-11-25
12,0.7457628,0.71018064,0.58115906,0.6021927,0.6439351,0.6447793,0.9999998,2019-11-24
13,0.76846564,0.7232857,0.6144498,0.62138945,0.67217827,0.66462195,1.0,2020-03-15
14,0.801573,0.7606292,0.67711145,0.66879874,0.7152614,0.70313275,1.0,2020-03-14
15,0.7627914,0.7121212,0.60737973,0.58794224,0.63586146,0.63716304,1.0000001,2019-11-23
16,0.7738111,0.7252159,0.62268597,0.64721864,0.686037,0.6737715,0.9999999,2020-02-15
17,0.77492684,0.73653907,0.6527699,0.6597091,0.70513904,0.69807255,1.0,2020-03-13
18,0.7764692,0.72901946,0.614099,0.59405506,0.64583397,0.64014745,1.0,2020-02-21
19,0.75905454,0.7191191,0.60656035,0.5922126,0.65240145,0.64922786,1.0,2020-01-19
20,0.7478546,0.70435584,0.6223708,0.6279874,0.66792935,0.6549407,0.9999995,2020-02-10
21,0.7378373,0.6838094,0.5947267,0.5708382,0.6205527,0.6091885,1.0,2019-11-26
22,0.7800143,0.72277725,0.5968392,0.59073687,0.6379852,0.6302754,1.0,2020-03-12
23,0.7309058,0.6875924,0.5940735,0.58628833,0.65731335,0.63246685,0.99999994,2019-11-25
24,0.74735767,0.69306517,0.56976354,0.57345873,0.612728,0.6076716,0.99999994,2019-11-24
25,0.7819103,0.7412488,0.6444383,0.6321683,0.67991614,0.6801098,1.0000002,2020-03-15
26,0.75773513,0.7118872,0.5871998,0.59536517,0.6458714,0.6420014,1.0,2020-03-14
27,0.7404771,0.69032943,0.59234846,0.59933513,0.66368186,0.6509949,1.0,2019-11-23
28,0.72786814,0.6883742,0.58431745,0.5811076,0.635447,0.6400756,0.9999999,2020-02-15
29,0.73921764,0.7029685,0.5936291,0.6155072,0.6741656,0.665324,1.0000001,2020-03-13
30,0.75094926,0.7172329,0.662251,0.60955846,0.66409504,0.6554706,1.0,2020-02-21
31,0.7640369,0.72410536,0.6079707,0.65620536,0.6802149,0.68518233,1.0,2020-01-19
32,0.75974977,0.7089397,0.5901599,0.6118504,0.65940046,0.6497043,1.0000002,2020-02-10
33,0.72856474,0.6904366,0.57163626,0.5718882,0.6402406,0.6326556,1.0,2019-11-26
34,0.76268864,0.7071624,0.63812244,0.6373744,0.66972184,0.6634843,1.0000001,2020-03-12
35,0.76451075,0.7334671,0.6070051,0.6075743,0.6469047,0.65374655,1.0000001,2019-11-25
36,0.75961316,0.7026383,0.5861789,0.58066094,0.619016,0.6224652,1.0000001,2019-11-24
37,0.7760932,0.7207161,0.6340427,0.63251746,0.6651745,0.66675806,0.9999997,2020-03-15
38,0.7480825,0.69251335,0.57240117,0.5796229,0.6144877,0.6287739,1.0,2020-03-14
39,0.74878716,0.70696414,0.6285045,0.6421072,0.67733586,0.6603387,1.0000001,2019-11-23
40,0.7596861,0.73102546,0.6022725,0.5958301,0.648358,0.64664894,0.9999998,2020-02-15
41,0.7632399,0.7216786,0.63065195,0.6125098,0.66575956,0.66100395,0.9999999,2020-03-13
42,0.72287035,0.6761445,0.56582105,0.6197575,0.64795965,0.62893677,1.0000001,2020-02-21
43,0.7444256,0.69255185,0.6090705,0.6177368,0.6537113,0.6502398,0.9999999,2020-01-19
44,0.73702383,0.69506323,0.619117,0.6050874,0.66747093,0.64256495,1.0,2020-02-10
45,0.73417103,0.6949984,0.5876944,0.6156436,0.67052436,0.6419343,0.9999999,2019-11-26
46,0.71983826,0.6679195,0.56258416,0.5610912,0.60760653,0.5914192,1.0000001,2020-03-12
47,0.74629945,0.7137413,0.5932734,0.61520594,0.6633153,0.6544062,0.9999998,2019-11-25
48,0.76602066,0.7155796,0.60151154,0.5878763,0.6430498,0.63495266,1.0,2019-11-24
49,0.7291849,0.6907556,0.5683425,0.5898285,0.6377326,0.64503103,1.0,2020-03-15
50,0.78408223,0.7415824,0.6486815,0.6458923,0.6945623,0.68581045,1.0,2020-03-14
51,0.74408466,0.69745,0.5741696,0.57367384,0.631037,0.6180736,1.0000002,2019-11-23
52,0.7625464,0.71481836,0.6207458,0.633278,0.6671623,0.6618042,1.0,2020-02-15
53,0.7452344,0.6997773,0.6048653,0.5854242,0.64834595,0.637727,1.0,2020-03-13
54,0.75307506,0.7207676,0.6064079,0.6005275,0.65513,0.6487157,1.0,2020-02-21
55,0.74167454,0.68877244,0.568915,0.58527094,0.621769,0.6147183,0.9999997,2020-01-19
56,0.7444749,0.69907534,0.61481464,0.5993439,0.6455364,0.64213324,1.0,2020-02-10
57,0.7754694,0.73725873,0.6557617,0.6624907,0.7052194,0.69501746,1.0,2019-11-26
58,0.75569606,0.7182137,0.6032374,0.61310196,0.6606375,0.6495546,0.9999999,2020-03-12
59,0.7341664,0.6839571,0.58207047,0.61963594,0.6557835,0.63521796,1.0000002,2019-11-25
60,0.74450064,0.691382,0.6277537,0.58193594,0.6383214,0.6285473,0.9999999,2019-11-24
61,0.7568222,0.71339977,0.6130291,0.5998056,0.6522261,0.63561547,1.0000001,2020-03-15
62,0.7565935,0.6990107,0.5947769,0.5835471,0.63228095,0.63470495,0.9999999,2020-03-14
63,0.73300767,0.6786835,0.560799,0.58830357,0.6323588,0.63648236,0.9999998,2019-11-23
64,0.7335695,0.6910026,0.57650816,0.6167338,0.6638273,0.6450561,0.9999999,2020-02-15
65,0.72248685,0.66856563,0.5474589,0.63096166,0.63703144,0.62233824,0.9999999,2020-03-13
66,0.7601782,0.7295654,0.61252946,0.6005867,0.65852153,0.6427988,1.0,2020-02-21
67,0.77265644,0.71752757,0.62786126,0.6334287,0.67618895,0.67863196,0.9999997,2020-01-19
68,0.7412933,0.69926393,0.5987847,0.6351726,0.6599857,0.6531626,1.0,2020-02-10
69,0.7262231,0.6780062,0.5644132,0.61304957,0.65803707,0.623081,1.0000002,2019-11-26
70,0.78228104,0.7321331,0.6297942,0.6243483,0.67107904,0.66282016,1.0000001,2020-03-12
71,0.71918595,0.676999,0.57272077,0.60633063,0.65181077,0.62422734,1.0000001,2019-11-25
72,0.7454734,0.70802516,0.59592867,0.632113,0.67514944,0.67606056,0.99999994,2019-11-24
73,0.771371,0.7347522,0.6108329,0.6112094,0.6538553,0.64626706,0.9999998,2020-03-15
74,0.7406054,0.6908401,0.5907116,0.5863553,0.65026367,0.6565205,0.9999999,2020-03-14
