,political instability,geopolitical factors,currency fluctuations,investment demand,supply demand,industrial demand,natural disasters,date
0,0.41864988,0.25736082,0.32752094,0.58239067,0.60392547,0.57364076,0.39037344,2019-11-24
1,0.47326782,0.3035521,0.28822407,0.6583909,0.5822592,0.5656263,0.38150048,2020-03-15
2,0.42631334,0.30838376,0.35583842,0.6161006,0.57021064,0.5926936,0.42385307,2020-03-14
3,0.3650977,0.17460002,0.20845152,0.5262963,0.5470566,0.49958017,0.36157733,2019-11-23
4,0.36358705,0.20626561,0.25852475,0.6080865,0.46306694,0.48515695,0.3820887,2020-02-15
5,0.36302325,0.21935461,0.28632355,0.61273843,0.5220571,0.50402564,0.330605,2020-03-13
6,0.48233455,0.39146352,0.40708372,0.7379734,0.60964024,0.6298829,0.45106742,2020-02-21
7,0.525978,0.45107907,0.34125397,0.68369484,0.60016423,0.5875925,0.43878445,2020-01-19
8,0.25274256,0.19398391,0.18388921,0.3618742,0.27842972,0.2645271,0.20608799,2020-02-10
9,0.4653319,0.46129847,0.4266389,0.53855383,0.4931416,0.48885065,0.36623687,2019-11-26
10,0.5191232,0.3431652,0.41212258,0.5429326,0.48646566,0.4299416,0.2724049,2020-03-12
11,0.42416334,0.3145983,0.30888438,0.6014274,0.5225565,0.5351865,0.32776615,2019-11-25
12,0.41351774,0.18739113,0.25760296,0.52183443,0.53780675,0.51176417,0.4145684,2019-11-24
13,0.4840447,0.21693717,0.32418272,0.59657764,0.6145315,0.61001366,0.36489597,2020-03-15
14,0.44716215,0.27261597,0.23567629,0.43397984,0.45484868,0.4381966,0.36728093,2020-03-14
15,0.45020744,0.20875987,0.3067407,0.5492929,0.47790244,0.4173162,0.25962362,2019-11-23
16,0.4728717,0.316441,0.3102926,0.60832345,0.5901617,0.5308208,0.41919374,2020-02-15
17,0.35174483,0.31157878,0.43406406,0.5906387,0.5557572,0.5934119,0.2793944,2020-03-13
18,0.51894736,0.2965819,0.27738565,0.5807292,0.5414057,0.53148246,0.43871284,2020-02-21
19,0.4570669,0.32507095,0.33354798,0.5046415,0.51700395,0.49621275,0.37367657,2020-01-19
20,0.39098525,0.33310133,0.31079784,0.52467227,0.5155112,0.53491366,0.34426016,2020-02-10
21,0.4078199,0.37242848,0.4388497,0.6299053,0.55597615,0.51945823,0.3027285,2019-11-26
22,0.49595243,0.25157255,0.34016734,0.49249786,0.4246157,0.4261487,0.26390088,2020-03-12
23,0.28561413,0.12351799,0.2934547,0.5901922,0.55551666,0.528283,0.30205584,2019-11-25
24,0.45870546,0.2497362,0.2540651,0.5830848,0.57163125,0.51934636,0.39554211,2019-11-24
25,0.43104768,0.33258092,0.2992061,0.5270927,0.5319364,0.53139836,0.3167529,2020-03-15
26,0.422646,0.22338042,0.2852988,0.59120286,0.592145,0.59250426,0.29996824,2020-03-14
27,0.31966543,0.2838843,0.31939766,0.47337636,0.47524887,0.453177,0.26320276,2019-11-23
28,0.44856444,0.31947732,0.31269425,0.6220241,0.5650551,0.5873449,0.41307327,2020-02-15
29,0.4752689,0.38301098,0.3437733,0.68667334,0.672252,0.6695637,0.47185823,2020-03-13
30,0.38436842,0.3631036,0.4502047,0.5324127,0.42913452,0.48156548,0.3694145,2020-02-21
31,0.5210259,0.34208918,0.36484197,0.7019119,0.6149693,0.6281777,0.42519635,2020-01-19
32,0.33136228,0.17738406,0.13926326,0.4567273,0.5091468,0.45297143,0.3692362,2020-02-10
33,0.5069316,0.42963687,0.36215326,0.5918251,0.5769954,0.5286122,0.5060872,2019-11-26
34,0.35041508,0.25851798,0.33067092,0.64436483,0.5558549,0.5240978,0.30002275,2020-03-12
35,0.5629358,0.35864502,0.34406745,0.630763,0.58646125,0.6023948,0.42890173,2019-11-25
36,0.57931846,0.3245117,0.31481454,0.6671393,0.61373955,0.6342623,0.40983626,2019-11-24
37,0.44642657,0.25392202,0.306507,0.5734261,0.5622436,0.49464825,0.37721524,2020-03-15
38,0.53839356,0.30172396,0.27969912,0.63880306,0.6012201,0.5772633,0.3337371,2020-03-14
39,0.46884102,0.38661954,0.414069,0.71855706,0.6220053,0.58429766,0.44755968,2019-11-23
40,0.4928186,0.4330338,0.3311269,0.573659,0.55176663,0.48966172,0.4557702,2020-02-15
41,0.45459583,0.35510063,0.3419612,0.50879174,0.53413343,0.55325234,0.35136455,2020-03-13
42,0.36027664,0.29315215,0.33319664,0.60913324,0.4990785,0.49580392,0.3211296,2020-02-21
